,Equity
810,10014.061966744153
811,10013.818478821353
812,10013.512134657034
813,10013.560479694941
814,10013.635271563042
815,10013.49641963748
816,10013.508057394276
817,10013.492649939033
818,10013.603308973034
819,10013.417705782247
820,10013.179932857747
821,10012.660585173915
822,10012.704777713365
823,10013.512749100983
824,10012.31092194274
825,10012.372487717295
826,10013.387327194434
827,10012.97916517963
828,10012.318338679688
829,10011.621062409353
830,10012.565783688871
831,10012.763973419616
832,10012.521797789044
833,10012.22392380187
834,10012.941315554712
835,10012.776247013127
836,10011.47289894046
837,10010.733987077174
838,10010.313409728085
839,10009.843910157124
840,10010.131286090793
841,10009.635756618813
842,10010.031786554317
843,10010.063822465982
844,10009.911709895845
845,10009.64737082335
846,10009.74454200884
847,10009.196152819351
848,10009.626964709234
849,10010.302425977168
850,10010.9132720768
851,10010.68188663466
852,10010.428163165469
853,10009.422103284012
854,10012.082987209456
855,10012.974378112318
856,10012.615738096205
857,10012.839362918568
858,10013.494579260467
859,10012.817831579623
860,10013.178928865671
861,10012.830422512208
862,10013.132925859925
863,10013.09205768015
864,10012.822520056876
865,10012.902986448156
866,10012.785601773894
867,10012.111641043415
868,10011.695828781085
869,10011.363632636218
870,10011.419670071322
871,10010.902955723965
872,10010.978692396344
873,10012.333498779397
874,10011.744874322952
875,10011.329928673076
876,10011.647171378796
877,10011.162829426014
878,10011.133661089956
879,10011.513166851175
880,10011.23365779055
881,10011.10892916938
882,10011.617570567589
883,10010.887216385285
884,10011.000253982802
885,10010.906883219595
886,10010.970523035041
887,10010.519267800431
888,10010.513689722071
889,10010.591972804188
890,10011.059112546765
891,10012.126135093638
892,10011.829213765828
893,10011.944252191286
894,10012.895633634807
895,10013.03035423057
896,10012.376191161617
897,10012.353538370622
898,10013.812893449096
899,10013.979112766703
900,10013.383773406676
901,10012.509659544525
902,10011.496889304564
903,10011.442370123004
904,10010.611991086285
905,10010.931154560445
906,10011.714899374909
907,10011.855373877659
908,10011.943426742451
909,10012.027673301343
910,10012.268400093668
911,10011.999658197821
912,10012.147192783463
913,10013.165134742088
914,10013.408223756027
915,10013.405952943238
916,10012.700546170614
917,10012.691319898151
918,10012.803427474493
919,10012.851934266138
920,10013.681299371963
921,10013.195703941366
922,10013.09138500637
923,10012.877131273945
924,10012.261499222106
925,10012.235799944629
926,10010.456092592414
927,10009.607590619104
928,10007.563494270484
929,10007.590382700104
930,10008.079062262275
931,10007.772373571812
932,10007.343055718777
933,10006.935337862948
934,10007.15152377955
935,10007.308353193685
936,10006.719247371528
937,10007.069917912899
938,10006.947065841872
939,10006.165036287674
940,10006.593054170211
941,10006.626804594169
942,10006.800357234531
943,10007.332223701715
944,10006.600733790667
945,10005.800037988152
946,10006.390814675258
947,10006.39167325557
948,10006.243734054506
949,10006.296818127796
950,10006.22817733791
951,10005.648175871635
952,10004.90314688754
953,10005.80906125041
954,10005.694611472469
955,10005.807928595772
956,10005.344206248225
957,10005.15271979968
958,10004.76855107066
959,10004.697113909131
960,10004.615320087474
961,10004.460118156832
962,10004.607919472377
963,10004.491559952503
964,10004.842374066799
965,10004.699601088834
966,10004.623353117226
967,10005.43624504834
968,10005.126252382246
969,10004.911211476918
970,10003.930002286337
971,10004.319167030248
972,10004.111794127939
973,10003.122796677206
974,10004.284437833134
975,10003.445642369768
976,10003.633056458144
977,10005.98992369652
978,10005.779889822776
979,10004.84764587881
980,10008.465413660442
981,10008.90997818008
982,10009.125879675139
983,10009.6378746928
984,10009.412629580804
985,10009.539395588356
986,10009.599727513045
987,10009.507447521955
988,10009.956291230503
989,10009.82021271926
990,10009.87246069283
991,10008.867229106078
992,10008.890553990414
993,10009.573677927498
994,10009.677884844712
995,10010.581251174644
996,10011.407909115744
997,10011.648973596431
998,10011.704869494682
999,10012.00067825002
1000,10011.717106371447
1001,10012.041054648613
1002,10011.904673778236
1003,10012.453589309851
1004,10013.017635648846
1005,10013.019844599454
1006,10012.33292869658
1007,10013.939665519323
1008,10012.159109590351
1009,10013.016768814825
1010,10012.858010603413
1011,10012.375880086154
1012,10012.679436632823
1013,10012.355666419811
1014,10012.18310395445
1015,10010.514401293785
1016,10010.116731147556
1017,10012.535813326691
1018,10012.4047727763
1019,10011.885757421584
1020,10011.134236655036
1021,10010.889970138523
1022,10011.527118276274
1023,10012.496594694026
1024,10012.709419250705
1025,10012.82139894538
1026,10013.123508733519
1027,10012.536641595929
1028,10012.555241900425
1029,10013.352737009971
1030,10013.20814548821
1031,10013.107991141256
1032,10013.265465618484
1033,10014.073499483191
1034,10014.423359327948
1035,10014.099826147203
1036,10014.0268964164
1037,10013.88394142326
1038,10013.995299924478
1039,10013.36118279282
1040,10013.036499476171
1041,10013.370294738705
1042,10013.70414860764
1043,10013.835921394915
1044,10016.991490279352
1045,10017.69620590816
1046,10017.590883065299
1047,10016.914914643974
1048,10017.041494068126
1049,10018.146933515936
1050,10016.815346818314
1051,10017.5776051468
1052,10017.543446442443
1053,10017.38102404813
