Time,Open,High,Low,Close,Volume,average,barCount,spread,SMA_S,SMA_C,SMA_L,up_sma1,up_sma2,down_sma1,down_sma2,flat_sma1,flat_sma2,Ren_Value,Blue,Red,Increase,Yellow,Blue/Yellow,Red/Yellow,Frac_Value,Flag,EndTime_fr,HI_Value,BearWarning,BullWarning,peak,crust,atr,buy_Frac,sell_Frac,neg_buy_Frac,neg_sell_Frac,hi_up,hi_down,returns,t_dir
2026-01-14 21:00:00-05:00,1.163875,1.16409,1.163625,1.16402,-1.0,-1.0,-1,0.0001,1.16411,1.1639475,1.1644029166666667,0,0,0,1,0,1,1.165445,0,1,1,0,0,0,1.163535,0.0,2026-01-14 21:00:00-05:00,1.16409,False,False,0,0,0.0008250000000000122,0,0,0,0,0,0,0.00012457606566248217,1
2026-01-14 22:00:00-05:00,1.16402,1.16416,1.1637,1.163885,-1.0,-1.0,-1,0.0001,1.164009,1.1639525000000002,1.1642279166666667,0,0,0,1,0,1,1.165445,0,1,1,0,0,0,1.16332,2.0,2026-01-14 22:00:00-05:00,1.16416,False,False,0,0,0.000751071428571464,0,0,1,0,0,0,-0.00011598411460199846,0
2026-01-14 23:00:00-05:00,1.163885,1.16394,1.16342,1.16346,-1.0,-1.0,-1,0.0001,1.1638009999999999,1.1636725,1.1640616666666668,0,0,0,1,0,1,1.165445,0,1,1,0,0,0,1.16332,0.0,2026-01-14 23:00:00-05:00,1.16416,False,False,0,0,0.000710000000000036,0,0,0,0,0,0,-0.00036522303717260443,0
2026-01-15 00:00:00-05:00,1.16346,1.1638,1.163365,1.163525,-1.0,-1.0,-1,0.0001,1.163753,1.1634924999999998,1.1639658333333334,0,0,0,1,0,1,1.165445,0,1,1,0,0,0,1.16332,0.0,2026-01-15 00:00:00-05:00,1.16416,False,True,0,0,0.0006596428571428963,0,0,0,0,0,0,5.586628192001501e-05,1
2026-01-15 01:00:00-05:00,1.163525,1.163845,1.163,1.163315,-1.0,-1.0,-1,0.0001,1.163641,1.16342,1.1639258333333335,0,0,0,1,0,1,1.165445,0,1,1,0,0,0,1.16332,0.0,2026-01-15 01:00:00-05:00,1.16416,False,False,0,0,0.0006560714285714761,0,0,0,0,0,0,-0.00018050231263861633,0
2026-01-15 02:00:00-05:00,1.163315,1.163665,1.16261,1.162885,-1.0,-1.0,-1,0.0001,1.163414,1.1631,1.1638641666666667,0,0,0,1,0,1,1.165445,0,1,1,0,0,0,1.16332,0.0,2026-01-15 02:00:00-05:00,1.16416,False,False,0,0,0.000657500000000041,0,0,0,0,0,0,-0.0003697016635695717,0
2026-01-15 03:00:00-05:00,1.162885,1.163545,1.1627,1.16308,-1.0,-1.0,-1,0.0001,1.1632529999999999,1.1629825,1.1637608333333331,0,0,0,1,0,1,1.165445,0,1,1,0,0,0,1.16332,0.0,2026-01-15 03:00:00-05:00,1.16416,False,True,0,0,0.0006475000000000389,0,0,0,0,0,0,0.00016767234283983817,1
2026-01-15 04:00:00-05:00,1.16308,1.16399,1.163035,1.16358,-1.0,-1.0,-1,0.0001,1.1632770000000001,1.16333,1.1636900000000001,0,0,1,0,0,1,1.165445,0,1,1,0,0,0,1.16261,2.0,2026-01-15 04:00:00-05:00,1.16399,False,False,1,0,0.000687142857142902,0,0,1,0,0,0,0.0004298006650711904,1
2026-01-15 05:00:00-05:00,1.16358,1.164105,1.16329,1.163575,-1.0,-1.0,-1,0.0001,1.163287,1.1635775000000002,1.1636220833333335,0,0,1,0,0,1,1.165445,0,1,1,0,0,0,1.16261,0.0,2026-01-15 05:00:00-05:00,1.16399,True,False,0,0,0.0006657142857143171,0,0,0,0,0,1,-4.297092372469544e-06,0
2026-01-15 06:00:00-05:00,1.163575,1.163795,1.163025,1.163095,-1.0,-1.0,-1,0.0001,1.163243,1.163335,1.163505,0,0,1,0,0,1,1.165445,0,1,1,0,0,0,1.16261,0.0,2026-01-15 06:00:00-05:00,1.163795,False,False,0,0,0.0006907142857143064,0,0,0,0,0,0,-0.0004126068645831328,0
2026-01-15 07:00:00-05:00,1.163095,1.163505,1.162035,1.16227,-1.0,-1.0,-1,0.0001,1.16312,1.1626824999999998,1.1633804166666666,0,0,0,1,0,1,1.165445,0,1,1,0,0,0,1.16261,0.0,2026-01-15 07:00:00-05:00,1.163795,False,False,0,0,0.0007721428571428879,0,0,0,0,0,0,-0.0007095660548899891,0
2026-01-15 08:00:00-05:00,1.16227,1.16252,1.15989,1.16015,-1.0,-1.0,-1,0.0001,1.162534,1.16121,1.16307,0,0,0,1,0,1,1.16015,0,1,1,1,0,1,1.16261,0.0,2026-01-15 08:00:00-05:00,1.163795,False,False,0,0,0.0009364285714286,0,0,0,0,0,0,-0.0018256823389828849,0
2026-01-15 09:00:00-05:00,1.16015,1.16109,1.159315,1.16011,-1.0,-1.0,-1,0.0001,1.16184,1.16013,1.1627441666666665,0,0,0,1,0,1,1.16015,0,1,1,0,0,0,1.16261,0.0,2026-01-15 09:00:00-05:00,1.163795,False,False,0,1,0.0009928571428571603,0,0,0,0,0,0,-3.447889461010887e-05,0
