Close,Low,Open,High,Time,returns,SMA_S,SMA_C,SMA_L,up_sma1,down_sma1,atr,volume,peak,crust,t_dir
1.399325,1.39345,1.39415,1.40135,2009-06-25 17:00:00+00:00,0.003711939174407375,1.39414,1.39494625,1.4010274999999999,1,0,0.003932142857142876,0,1.0,0.0,0
1.39865,1.397875,1.399325,1.399875,2009-06-25 18:00:00+00:00,-0.0004823754310113726,1.39427,1.39518125,1.4008159999999998,1,0,0.003944642857142878,0,0.0,0.0,0
1.398875,1.39795,1.39865,1.399825,2009-06-25 19:00:00+00:00,0.00016086940978810027,1.3947125,1.39541375,1.4006365,1,0,0.003978571428571466,0,0.0,0.0,0
1.39875,1.39855,1.398875,1.39975,2009-06-25 20:00:00+00:00,-8.935751943539572e-05,1.395255,1.3955425,1.4004444999999999,1,0,0.0038875000000000437,0,0.0,0.0,0
1.399575,1.398675,1.3992,1.399825,2009-06-25 21:15:00+00:00,0.0005898123324397098,1.3959199999999998,1.3957625,1.4002794999999997,1,0,0.003653571428571478,0,0.0,0.0,0
1.39855,1.39835,1.399575,1.399775,2009-06-25 22:00:00+00:00,-0.0007323651822874755,1.3967425,1.3958925,1.4000964999999999,1,0,0.00356250000000004,0,0.0,1.0,0
1.401075,1.39835,1.39855,1.401225,2009-06-25 23:00:00+00:00,0.0018054413499697386,1.3974725000000001,1.396105,1.3999695,1,0,0.003482142857142894,0,0.0,1.0,1
1.403025,1.40095,1.401075,1.40405,2009-06-26 00:00:00+00:00,0.0013917884481557952,1.39873,1.3964374999999998,1.399886,1,0,0.0035714285714286064,0,0.0,0.0,1
1.404475,1.403025,1.403025,1.40465,2009-06-26 01:00:00+00:00,0.0010334812280607952,1.399645,1.3968387500000001,1.3998365000000002,1,0,0.0034089285714286044,0,0.0,0.0,1
1.40375,1.403525,1.404475,1.40475,2009-06-26 02:00:00+00:00,-0.0005162071236581856,1.400605,1.3971737499999999,1.3997505000000001,1,0,0.0031803571428571853,0,0.0,0.0,1
1.40425,1.40345,1.40375,1.40455,2009-06-26 03:00:00+00:00,0.0003561887800533903,1.4010975,1.39761875,1.3996724999999999,1,0,0.0029678571428571727,0,0.0,0.0,1
1.40615,1.40395,1.40425,1.40615,2009-06-26 04:00:00+00:00,0.0013530354281645618,1.4018475000000001,1.3980587500000001,1.3996224999999998,1,0,0.0025964285714285946,0,0.0,0.0,1
1.40375,1.40265,1.40615,1.406225,2009-06-26 05:00:00+00:00,-0.0017067880382605205,1.402335,1.3985237499999998,1.3995225,1,0,0.0024232142857143163,0,1.0,0.0,1
1.40305,1.402425,1.40375,1.40575,2009-06-26 06:00:00+00:00,-0.0004986642920749018,1.402765,1.39901,1.3993915000000001,1,0,0.0024696428571428903,0,0.0,0.0,1
1.404125,1.40285,1.40305,1.405875,2009-06-26 07:00:00+00:00,0.0007661879476854594,1.40322,1.39957,1.3993105,1,0,0.0021214285714286074,0,0.0,0.0,1
1.40445,1.40145,1.404125,1.404525,2009-06-26 08:00:00+00:00,0.0002314608742097768,1.40381,1.40027625,1.3991365,1,0,0.002198214285714317,0,0.0,1.0,1
1.407475,1.40265,1.40445,1.40865,2009-06-26 09:00:00+00:00,0.002153868062230835,1.40445,1.40096125,1.399061,1,0,0.0024928571428571695,0,0.0,0.0,1
1.408675,1.40725,1.407475,1.409175,2009-06-26 10:00:00+00:00,0.000852590632160366,1.4050150000000001,1.4018725,1.3990414999999998,1,0,0.0025446428571428903,0,0.0,0.0,1
1.409125,1.407575,1.408675,1.41005,2009-06-26 11:00:00+00:00,0.00031944912772652323,1.40548,1.4025625,1.399026,1,0,0.002639285714285733,0,0.0,0.0,1
1.407775,1.40755,1.409125,1.41085,2009-06-26 12:00:00+00:00,-0.0009580413377094921,1.4058825,1.4032437500000001,1.399037,1,0,0.0027732142857142933,0,1.0,0.0,1
1.40695,1.406425,1.407775,1.409375,2009-06-26 13:00:00+00:00,-0.0005860311484434666,1.4061525,1.403625,1.399131,1,0,0.0027785714285714397,0,0.0,0.0,1
1.406725,1.4048,1.40695,1.408775,2009-06-26 14:00:00+00:00,-0.0001599203951809791,1.40621,1.40402875,1.3991119999999997,1,0,0.0028410714285714367,0,0.0,0.0,1
1.405475,1.40415,1.406725,1.40705,2009-06-26 15:00:00+00:00,-0.0008885887433577322,1.4063824999999999,1.4043587499999999,1.3991580000000001,1,0,0.0029321428571428593,0,0.0,1.0,1
1.4091,1.405475,1.405475,1.41065,2009-06-26 16:00:00+00:00,0.0025791992031163335,1.4069875,1.4048762499999998,1.3992769999999999,1,0,0.003214285714285709,0,0.0,0.0,1
1.406925,1.40675,1.4091,1.411825,2009-06-26 17:00:00+00:00,-0.0015435384287844078,1.4072675000000001,1.40524375,1.3993870000000002,1,0,0.003498214285714301,0,1.0,0.0,1
1.40775,1.40655,1.406925,1.40775,2009-06-26 18:00:00+00:00,0.0005863852017697901,1.4075975,1.40570375,1.3995690000000003,1,0,0.0034267857142857372,0,0.0,0.0,1
1.40695,1.40625,1.40775,1.40785,2009-06-26 19:00:00+00:00,-0.0005682827206535679,1.407545,1.4059975,1.3997385,0,1,0.0032857142857143046,0,0.0,0.0,1
1.40555,1.40535,1.40695,1.40735,2009-06-26 20:00:00+00:00,-0.000995060236682055,1.4072324999999999,1.4061237500000001,1.4000009999999998,0,1,0.003191071428571446,0,0.0,1.0,1
