,Time,action,Ren_Value,Blue,Red,dir,Yellow,Blue/Yellow,Red/Yellow,Frac_Value,Flag,HI_Value,BearWarning,BullWarning,OBV,VWAP,bullish_engulfing,bullish_harami,dark_cloud_cover,doji,doji_star,dragonfly_doji,gravestone_doji,hammer,hanging_man,morning_star,morning_star_doji,piercing_pattern,rain_drop,rain_drop_doji,shooting_star,star,Open,High,Low,Close,volume,complete,spread,returns,SMA_S,SMA_C,SMA_L,up_sma1,up_sma2,down_sma1,down_sma2,flat_sma1,flat_sma2,peak,crust,atr,buy_renko,sell_renko,neg_buy_renko,neg_sell_renko,buy_Frac,sell_Frac,neg_buy_Frac,neg_sell_Frac,hi_up,hi_down,t_dir
3632,2/14/2023 13:00,0,1.07362,1,0,0,0,0,0,1.07662,0,1.06786,0,0,241892,1.024848846,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.07572,1.08038,1.07163,1.07604,20656,1,0.00014,0.000288135,1.075758,1.075885,1.0745475,1,0,0,0,1,0,0,0,0.001803571,1,0,0,0,0,0,0,0,0,0,1
3633,2/14/2023 14:00,0,1.07362,1,0,0,0,0,0,1.07662,0,1.07687,0,0,217573,1.024910227,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.07602,1.07687,1.07078,1.07517,24319,1,0.00013,-0.000808847,1.075578,1.075605,1.0747175,1,0,0,0,1,0,0,0,0.002187857,1,0,0,0,0,0,0,0,0,0,0
3634,2/14/2023 15:00,0,1.07362,1,0,0,0,0,0,1.08038,1,1.07687,0,0,201078,1.024948765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0752,1.07711,1.07061,1.07152,16495,1,0.00013,-0.003400587,1.074782,1.073345,1.074561667,0,1,0,0,0,0,0,1,0.002591429,1,0,0,0,1,0,0,0,0,0,0
3635,2/14/2023 16:00,0,1.07362,1,0,0,0,0,0,1.08038,0,1.07687,0,1,214955,1.024981519,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0715,1.07333,1.07117,1.07207,13877,1,0.00013,0.000513158,1.074106,1.071795,1.0744225,0,0,0,1,0,1,0,0,0.002685,0,0,1,0,0,0,0,0,0,0,1
3636,2/14/2023 17:00,0,1.07362,1,0,0,0,0,0,1.07061,2,1.07687,0,1,222665,1.024999948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07205,1.07298,1.07184,1.07272,7710,1,0.00013,0.00060612,1.073504,1.072395,1.074335,0,0,0,1,0,1,0,0,0.002720714,0,0,1,0,0,0,1,0,0,0,1
3637,2/14/2023 18:00,0,1.07362,1,0,0,0,0,0,1.07061,0,1.07687,0,1,230684,1.025019252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0727,1.07448,1.07266,1.07308,8019,1,0.00015,0.000335539,1.072912,1.0729,1.074271667,0,0,0,1,0,1,0,0,0.002793571,0,0,1,0,0,0,0,0,0,0,1
3638,2/14/2023 19:00,0,1.07362,1,0,0,0,0,0,1.07061,0,1.07687,0,1,236833,1.025034283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07311,1.07402,1.07225,1.07386,6149,1,0.00015,0.000726616,1.07265,1.07347,1.0743325,0,0,1,0,0,1,0,0,0.002887143,0,0,1,0,0,0,0,0,0,0,1
3639,2/14/2023 20:00,0,1.07362,1,0,0,0,0,0,1.07061,0,1.07418,1,0,232549,1.02504472,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.07381,1.07418,1.07316,1.07373,4284,1,0.00014,-0.000121066,1.073092,1.073795,1.074245,0,0,1,0,0,1,0,0,0.002895,0,0,1,0,0,0,0,0,0,1,0
3640,2/14/2023 21:00,0,1.07362,1,0,0,0,0,0,1.07061,0,1.07418,1,0,231111,1.025048207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07362,1.07383,1.07341,1.07348,1438,1,0.00018,-0.00023286,1.073374,1.073605,1.074029167,0,0,1,0,0,1,0,0,0.002797143,0,0,1,0,0,0,0,0,0,1,0
3641,2/14/2023 22:00,0,1.07362,1,0,0,0,0,0,1.07061,0,1.07361,0,0,231554,1.025049282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07357,1.07361,1.07317,1.07333,443,1,0.00036,-0.000139742,1.073496,1.073405,1.073848333,0,0,0,1,0,1,0,0,0.002675,0,0,1,0,0,0,0,0,0,0,0
3642,2/14/2023 23:00,0,1.07362,1,0,0,0,0,0,1.07061,0,1.07361,0,1,229720,1.025053724,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.07333,1.07387,1.07324,1.07346,1834,1,0.00015,0.000121111,1.073572,1.073395,1.0736825,0,0,0,1,0,1,0,0,0.00256,0,0,1,0,0,0,0,0,0,0,1
3643,2/15/2023 0:00,0,1.07362,1,0,0,0,0,0,1.07061,0,1.07394,0,0,232575,1.025060676,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07345,1.07394,1.0732,1.07373,2855,1,0.00015,0.000251491,1.073546,1.073595,1.073515833,1,0,0,0,1,0,0,0,0.002486429,1,0,0,0,0,0,0,0,0,0,1
